task_id,model_id,label,category,task_prefix,text,response,tool_call,entity_diff
"home5_cn_fan-turn_on_the_bedroom_1_fan","gemini-2.0-flash","Good","fan","home5_cn_fan","Turn on the bedroom 1 fan","OK, turning on the bedroom 1 fan.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['fan'], 'area': 'Bedroom 1'}}","{}"
"home1_us_smart_lock-unlock_smart_lock","gemini-2.0-flash","Good","lock","home1_us_smart_lock","Unlock smart lock","OK. I've unlocked the Smart Lock.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}","{}"
"home1_us_vacuum-return_roborock_downstairs_to_base","gemini-2.0-flash","Good","vacuum","home1_us_vacuum","Return Roborock Downstairs to base","OK. I have returned Roborock Downstairs to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}","{}"
"home1_us_vacuum-stop_roborock_downstairs","gemini-2.0-flash","Good","vacuum","home1_us_vacuum","Stop Roborock Downstairs","OK. I've sent Roborock Downstairs back to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}","{}"
"home2_ru_water_valve-set_the_irrigation_valve_to_50","gemini-2.0-flash","Good","valve","home2_ru_water_valve","set the irrigation valve to 50%","OK. I have set the irrigation valve to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve', 'position': 50}}","{}"
"home7_dk_media_player-pause_the_rooftop_terrace_music","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Pause the Rooftop Terrace music","OK. I've paused the music on the Rooftop Terrace.","{'tool_name': 'HassMediaPause', 'tool_args': {'area': 'Rooftop Terrace', 'domain': ['media_player']}}","{}"
"home1_us_vacuum-stop_the_downstairs_vacuum","gemini-2.0-flash","Good","vacuum","home1_us_vacuum","Stop the downstairs vacuum","OK. I've sent Roborock Downstairs back to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}","{}"
"home7_dk_cover_curtain-close_the_smart_cutains","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain","Close the smart cutains","OK. I've closed the smart curtain.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}","{}"
"home2_ru_water_valve-turn_off_the_water_in_the_front_yard","gemini-2.0-flash","Good","valve","home2_ru_water_valve","turn off the water in the front yard","OK, I've turned off the water in the Front yard.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['valve'], 'area': 'Front yard'}}","{}"
"home7_dk_media_player-resume_outdoor_speakers","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Resume Outdoor Speakers","OK. I've resumed the Outdoor Speakers.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}","{}"
"home7_dk_cover_curtain-set_the_smart_curtain_to_50","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain","Set the smart curtain to 50%","OK. I've set the Smart Curtain to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain', 'position': 50}}","{}"
"home7_dk_media_player-pause_outdoor_speakers","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Pause Outdoor Speakers","OK. I've paused the Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"home2_ru_water_valve-close_the_irrigation_valve","gemini-2.0-flash","Good","valve","home2_ru_water_valve","close the irrigation valve","OK, I've closed the irrigation valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}","{}"
"home7_dk_media_player-resume_playing_the_music","gemini-2.0-flash","Bad","media-player","home7_dk_media_player","Resume playing the music","Which media player do you want to resume?","","{'media_player.outdoor_speakers': {'expected': {'state': 'playing'}, 'got': {'state': 'paused'}}}"
"home7_dk_media_player-next_song","gemini-2.0-flash","Bad","media-player","home7_dk_media_player","Next song","Which media player do you want to skip to the next song?","","{'media_player.outdoor_speakers': {'expected': {'media_track': 2}, 'got': {'media_track': 1}}}"
"home7_dk_cover_curtain-open_the_smart_curtain","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain","Open the smart curtain","OK. I've opened the Smart Curtain.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}","{}"
"home7_dk_media_player-stop_the_outdoor_speakers","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Stop the Outdoor Speakers","OK. I've paused the Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"home1_us_smart_lock-unlock_the_smart_lock","gemini-2.0-flash","Good","lock","home1_us_smart_lock","Unlock the smart lock","OK. I've unlocked the Smart Lock.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}","{}"
"home2_ru_water_valve-water_the_garden","gemini-2.0-flash","Good","valve","home2_ru_water_valve","water the garden","OK. I've turned on the irrigation valve in the Front yard.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['valve'], 'area': 'Front yard'}}","{}"
"dom1_pl_todo-put_history_homework_on_personal_tasks_list","gemini-2.0-flash","Good","todo","dom1_pl_todo","Put history homework on personal tasks list","OK. I've added history homework to personal tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'history homework'}}","{}"
"dom1_pl_todo-put_apples_on_the_trader_joes_list","gemini-2.0-flash","Good","todo","dom1_pl_todo","put apples on the trader joes list","OK, I've added apples to the Trader Joe's list.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Trader Joe's', 'item': 'apples'}}","{}"
"home1_us_vacuum-start_roborock","gemini-2.0-flash","Good","vacuum","home1_us_vacuum","Start Roborock","OK, I've started Roborock Downstairs.","{'tool_name': 'HassVacuumStart', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}","{}"
"home7_dk_media_player-skip_song_on_outdoor_speakers","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Skip song on outdoor speakers","OK.","{'tool_name': 'HassMediaNext', 'tool_args': {'domain': ['media_player'], 'device_class': ['speaker'], 'name': 'Outdoor Speakers'}}","{}"
"home7_dk_media_player-skip_to_the_next_track","gemini-2.0-flash","Bad","media-player","home7_dk_media_player","Skip to the next track","Which media player do you want to skip to the next track?","","{'media_player.outdoor_speakers': {'expected': {'media_track': 2}, 'got': {'media_track': 1}}}"
"home1_us_vacuum-start_roborock_downstairs_vacuum","gemini-2.0-flash","Good","vacuum","home1_us_vacuum","Start Roborock Downstairs vacuum","OK, starting Roborock Downstairs.","{'tool_name': 'HassVacuumStart', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}","{}"
"dom1_pl_todo-add_history_homework_to_my_tasks","gemini-2.0-flash","Bad","todo","dom1_pl_todo","Add history homework to my tasks","Which list do you want to add history homework to? Personal Tasks or Trader Joe's?","","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"home1_us_vacuum-start_roborock_downstairs","gemini-2.0-flash","Good","vacuum","home1_us_vacuum","Start Roborock Downstairs","OK, starting Roborock Downstairs.","{'tool_name': 'HassVacuumStart', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}","{}"
"home1_us_vacuum-start_vacuuming","gemini-2.0-flash","Bad","vacuum","home1_us_vacuum","Start vacuuming","Which vacuum would you like to start?","","{'vacuum.roborock_downstairs': {'expected': {'state': 'cleaning'}, 'got': {'state': 'off'}}}"
"home7_dk_cover_curtain-close_the_curtains","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain","Close the curtains","OK.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"home1_us_vacuum-vacuum_return_to_base","gemini-2.0-flash","Bad","vacuum","home1_us_vacuum","Vacuum return to base","Which vacuum do you want to return to base?","","{'vacuum.roborock_downstairs': {'expected': {'state': 'returning'}, 'got': {'state': 'cleaning'}}}"
"home1_us_cover_garage-open_the_garage_door","gemini-2.0-flash","Good","cover","home1_us_cover_garage","Open the garage door","OK. I've opened the garage door.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","{}"
"home7_dk_media_player-skip_to_the_next_track_on_the_outdoor_speakers","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Skip to the next track on the outdoor speakers","OK.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}","{}"
"home2_ru_water_valve-close_the_front_yard_valve","gemini-2.0-flash","Good","valve","home2_ru_water_valve","close the front yard valve","OK. I've closed the irrigation valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Front yard', 'domain': ['valve']}}","{}"
"home1_us_vacuum-start_the_vacuum","gemini-2.0-flash","Bad","vacuum","home1_us_vacuum","Start the vacuum","Which vacuum do you want to start?","","{'vacuum.roborock_downstairs': {'expected': {'state': 'cleaning'}, 'got': {'state': 'off'}}}"
"home7_dk_media_player-mute_the_music","gemini-2.0-flash","Bad","media-player","home7_dk_media_player","Mute the music","Which media player would you like to mute?","","{'media_player.outdoor_speakers': {'expected': {'volume_level': 0.0}, 'got': {'volume_level': 0.6}}}"
"home7_dk_media_player-unpause_the_outdoor_speakers","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Unpause the Outdoor Speakers","OK. I've unpaused the Outdoor Speakers.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"home7_dk_media_player-pause_the_music","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Pause the music","OK. The music has been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player']}}","{}"
"home1_us_vacuum-vacuum_downstairs","gemini-2.0-flash","Good","vacuum","home1_us_vacuum","Vacuum downstairs","OK. I've started the Roborock Downstairs vacuum.","{'tool_name': 'HassVacuumStart', 'tool_args': {'area': 'Living Room', 'domain': ['vacuum']}}","{}"
"home7_dk_cover_curtain-set_the_living_room_curtains_to_50","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain","Set the living room curtains to 50%","OK. I've set the living room curtains to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'device_class': ['curtain'], 'position': 50, 'area': 'Living Room'}}","{}"
"dom1_pl_todo-put_apples_on_the_shopping_list","gemini-2.0-flash","Bad","todo","dom1_pl_todo","put apples on the shopping list","Which shopping list do you want to add apples to? You can choose between Personal Tasks and Trader Joe's.","","{'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"home7_dk_media_player-set_outdoor_speakers_volume_to_50","gemini-2.0-flash","Good","media-player","home7_dk_media_player","Set outdoor speakers volume to 50%","OK. I've set the volume of the Outdoor Speakers to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'domain': ['media_player'], 'volume_level': 50, 'name': 'Outdoor Speakers'}}","{}"
"dom1_pl_todo-add_apples_to_my_trader_joe_s_list","gemini-2.0-flash","Good","todo","dom1_pl_todo","add apples to my trader joe's list","OK. I've added apples to the Trader Joe's list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","{}"
"dom1_pl_todo-put_apples_on_the_list","gemini-2.0-flash","Bad","todo","dom1_pl_todo","put apples on the list","Which list do you want to add apples to?","","{'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_lights-kitchen_light_off","gemini-2.0-flash","Good","light","dom1_pl_lights","Kitchen light off","OK. I've turned off the kitchen light.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Kitchen', 'domain': ['light']}}","{}"
"dom1_pl_todo-put_history_homework_on_my_task_list","gemini-2.0-flash","Bad","todo","dom1_pl_todo","Put history homework on my task list","Which task list would you like me to add it to?","","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
